RTDTimestamp,RepeatedHourFlag,IntervalId,IntervalEnding,IntervalRepeatedHourFlag,SettlementPoint,SettlementPointType,LMP
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BYU_PUN2,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BYU_PUN3,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BYU_PUN4,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,B_DAVIS_3,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,B_DAVIS_4,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,B_DAVIS_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,B_D_B_DAVIG1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,B_D_B_DAVIG2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CALAVER_JKS1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CALAVER_JKS2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CALAVER_JTD1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CALAVER_JTD2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CALAVER_OWS1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CALAVER_OWS2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CALHOUN_ALL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CALLAHA_WND1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CAL_ALL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CAL_CALGT1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CAL_CALSTG1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CAL_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CAL_PUN1,PUN,26.58
