Date,Close,Buy,Sell,p/l
2018-08-25 10:30:00,20.05,,19.66,3.9610799999999857
2018-08-25 10:45:00,20.85,,,0.0
2018-08-25 11:00:00,20.48,,,0.0
2018-08-25 11:15:00,21.06,20.48,,0.0
2018-08-25 11:30:00,23.02,,,0.0
2018-08-25 11:45:00,25.87,,23.02,25.35649999999999
2018-08-25 12:00:00,27.51,,,0.0
2018-08-25 12:15:00,27.37,,,0.0
2018-08-25 12:30:00,28.67,27.37,,0.0
2018-08-25 12:45:00,30.83,,,0.0
2018-08-25 13:00:00,33.48,,,0.0
2018-08-25 13:15:00,31.85,,33.48,61.03914999999999
2018-08-25 13:30:00,32.75,31.85,,0.0
2018-08-25 13:45:00,34.04,,,0.0
2018-08-25 14:00:00,34.15,,34.04,21.834109999999978
2018-08-25 14:15:00,35.06,,,0.0
2018-08-25 14:30:00,35.68,,,0.0
2018-08-25 14:45:00,35.78,,,0.0
2018-08-25 15:00:00,36.07,,,0.0
2018-08-25 15:15:00,36.12,,,0.0
2018-08-25 15:30:00,36.49,,,0.0
2018-08-25 15:45:00,38.08,,,0.0
2018-08-25 16:00:00,38.47,,,0.0
2018-08-25 16:15:00,38.31,,,0.0
2018-08-25 16:30:00,36.68,,,0.0
2018-08-25 16:45:00,36.24,,,0.0
2018-08-25 17:00:00,35.87,,,0.0
2018-08-25 17:15:00,35.7,,,0.0
2018-08-25 17:30:00,33.49,,,0.0
2018-08-25 17:45:00,32.65,33.49,,0.0
2018-08-25 18:00:00,31.39,,,0.0
2018-08-25 18:15:00,30.35,,,0.0
2018-08-25 18:30:00,29.87,,,0.0
2018-08-25 18:45:00,29.15,,,0.0
2018-08-25 19:00:00,28.74,,,0.0
2018-08-25 19:15:00,29.48,,,0.0
2018-08-25 19:30:00,29.0,,,0.0
2018-08-25 19:45:00,28.88,,,0.0
2018-08-25 20:00:00,29.41,,,0.0
2018-08-25 20:15:00,30.01,,,0.0
2018-08-25 20:30:00,30.75,,,0.0
2018-08-25 20:45:00,30.25,,30.75,-27.464240000000018
2018-08-25 21:00:00,29.18,30.25,,0.0
2018-08-25 21:15:00,27.09,,,0.0
2018-08-25 21:30:00,26.11,,,0.0
